Language,Audio Path,WER,BLEU,BERTScore,Processing Time (s)
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpa02fqh13.wav,0.375,0.051,0.837,2.06
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpifst93y6.wav,0.391,0.615,0.958,3.01
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp9hgug1r1.wav,0.517,0.242,0.949,4.08
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpn7mg5vtn.wav,0.571,0.671,0.94,20.07
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpidlkzk_0.wav,0.7,0.05,0.915,1.83
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpnbhbikj8.wav,1.719,0.012,0.847,34.0
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpmy8yy9sp.wav,0.769,0.208,0.909,4.28
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpoc3wf8w2.wav,0.533,0.179,0.934,4.44
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp1ldr3ggr.wav,0.783,0.447,0.927,3.84
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpvxuoky4o.wav,0.579,0.441,0.952,3.33
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpet_qsy2t.wav,0.5,0.677,0.979,2.61
hi_in,C:\Users\prakh\AppData\Local\Temp\tmplg939qxq.wav,0.875,0.208,0.907,4.58
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpenobcu_h.wav,0.632,0.376,0.922,3.35
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpru_5ubc2.wav,0.857,0.022,0.804,2.61
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpdz7gptj9.wav,0.55,0.368,0.947,3.07
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp8odtqt0c.wav,1.0,0.388,0.895,1.64
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp2a6j6id1.wav,0.577,0.7,0.994,4.06
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp2f730v4v.wav,0.562,0.057,0.945,2.81
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpy9m9do9n.wav,0.348,0.219,0.906,3.43
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp_1denofu.wav,0.6,0.204,0.91,2.5
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp6l0hql65.wav,1.138,0.031,0.913,2.92
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp9l2ai0ge.wav,0.571,0.379,0.94,2.5
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp5l7i9hz5.wav,0.84,0.017,0.822,1.94
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpwp6_ubub.wav,0.684,0.016,0.737,3.42
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpeswcm6r4.wav,0.387,0.759,0.989,4.56
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpb9l28jci.wav,0.535,0.027,0.905,5.5
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpjtb32ec7.wav,0.778,0.203,0.878,2.96
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp__r9wbs0.wav,0.611,0.031,0.903,2.65
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp0ytgu0rk.wav,0.389,0.186,0.927,2.55
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp8ytf5i__.wav,0.462,0.735,0.993,3.61
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp5u6gqlhl.wav,1.25,0.044,0.873,1.83
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpjt654o3m.wav,0.692,0.06,0.935,2.54
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpz89_derb.wav,1.069,0.049,0.852,2.49
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpe6nnj081.wav,0.652,0.368,0.923,4.13
hi_in,C:\Users\prakh\AppData\Local\Temp\tmphh7xp4de.wav,0.55,0.444,0.952,6.07
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpkqcjmu0r.wav,0.357,0.761,0.993,2.32
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpzc1k4sqx.wav,1.1,0.128,0.902,1.17
